약수터명,소재지도로명주소,소재지지번주소,위도,경도,지정일자,일평균이용인구수,수질검사일자,수질검사결과구분,부적합항목,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2019-02-26,부적합,총대장균균,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2019-02-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-02-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2019-04-18,부적합,미검사(시설폐쇄),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
연곡제,전라남도 여수시 여서동 154,전라남도 여수시 여서동 154,34.7461798,127.710941,2012-05-01,200,2019-03-11,적합,,061-659-4907,전라남도 여수시청,2019-03-25,4810000,전라남도 여수시
부여군 등경수약수터,,충청남도 부여군 세도면 동사리 산50-1,36.1781625912,126.9217089222,2006-12-14,100,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
부여군 거무내정약수,충청남도 부여군 부여읍 성왕로352번길 11,충청남도 부여군 부여읍 쌍북리 727,36.2826831637,126.9285892508,2003-10-01,200,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
부여군 왕능우물,,충청남도 부여군 부여읍 능산리 547,36.276476,126.9452388262,1996-02-03,100,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
부여군 조왕사약수,,충청남도 부여군 부여읍 가탑리 404-15,36.2777231234,126.921438,1996-02-03,30,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
생수가든샘터,"강원도 춘천시 구마니1길 36-11, (삼천동)",강원도 춘천시 삼천동 167-2번지,37.8687445,127.7039311604,1995-03-27,150,2019-07-02,적합,,033-250-4949,춘천시,2019-08-01,4180000,강원도 춘천시
용왕샘터,"강원도 춘천시 신북읍 저울길 128-38, (용산리)",강원도 춘천시 신북읍 용산리 산2번지,37.9501770448,127.7200256799,1995-03-27,250,2019-07-02,적합,,033-250-4949,춘천시,2019-08-01,4180000,강원도 춘천시
수락약수터,충청남도 논산시 벌곡면 수락계곡길 203,충청남도 논산시 벌곡면 수락리 산 9,36.14761533,127.305794,,50,2019-02-14,적합,,041-746-5552,충청남도 논산시청,2020-03-03,4540000,충청남도 논산시
소룡약수터,,충청남도 논산시 연무읍 소룡리 산 58-3,36.09876259,127.1308669,,50,2019-02-14,적합,,041-746-5552,충청남도 논산시청,2020-03-03,4540000,충청남도 논산시
노성산약수터,,충청남도 논산시 노성면 읍내리 산 1-1,36.28664619,127.1269436,,50,2019-02-14,적합,,041-746-5552,충청남도 논산시청,2020-03-03,4540000,충청남도 논산시
한마음,,경기도 수원시 장안구 조원동 산6,37.309078,127.021795,1999-10-02,100,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
금바위,,경기도 수원시 장안구 송죽동 산5-3,37.3164972102,127.0087134994,1989-10-16,50,2020-01-20,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
구기,,경기도 수원시 장안구 송죽동 4,37.315433,127.007915,1991-10-16,250,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
율전,,경기도 수원시 장안구 율전동 산21,37.310185,126.971543,1989-06-11,300,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
계명,,경기도 수원시 장안구 파장동 369(산113-1),37.312436,127.999677,1992-05-28,50,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
신선,,경기도 수원시 장안구 파장동 산93-1,37.319809339,126.99967791,1989-10-16,100,2020-01-21,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
삼익,,경기도 수원시 장안구 파장동 산93-2,37.319607,126.997943,1989-10-16,50,2020-01-21,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
한철2호,,경기도 수원시 장안구 파장동 산107,37.3230314757,127.006711,1998-09-23,200,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
한철,,경기도 수원시 장안구 파장동 산107,37.32303147,127.0067322,1992-03-28,300,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
국사봉약수터,,서울특별시 동작구 상도동 산65-41,,,1990-01-01,400,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
보라매약수터,,서울특별시 동작구 신대방동 722,,,1991-01-01,400,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
흑석약수터,,서울특별시 동작구 흑석동 33-253,,,1992-01-01,200,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
달마약수터,,서울특별시 동작구 흑석동 산60-6,,,1992-01-01,300,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
학수약수터,,서울특별시 동작구 사당동 산22-16,37.4928147213,126.9658185448,1988-01-01,400,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
녹천약수터,,서울특별시 동작구 사당동 산22-1,,,1992-01-01,400,2018-11-07,적합,,02-820-1397,서울특별시 동작구청,2020-01-29,3190000,서울특별시 동작구
나막골약수터,,경기도 이천시 관고동 산67-3,37.2897056,127.4237592,,180,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
오미약수터,,경기도 이천시 관고동 산67-3,37.2897056,127.4237592,,250,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
청구약수터,,경기도 이천시 관고동 산67-3,37.2897056,127.4237592,,220,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
초암약수터,,경기도 이천시 관고동 173,37.2848859,127.4260779,,200,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
천경대약수터,,경기도 이천시 관고동 산67-3,37.2897056,127.4237592,,250,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
얼음골(하)약수터,부산광역시 수영구 망미1동 산114번지,부산광역시 수영구 망미1동 산114번지,35.168008,129.095040,2013-01-01,200,2018-11-07,적합,,051-610-4391,부산광역시 수영구청,2019-11-18,3380000,부산광역시 수영구
양지약수터,부산광역시 수영구 망미1동 산114번지,부산광역시 수영구 망미1동 산114번지,35.168008,129.095040,2001-01-01,50,2018-11-07,적합,,051-610-4391,부산광역시 수영구청,2019-11-18,3380000,부산광역시 수영구
조광약수터,부산광역시 수영구 광안4동 산35-2번지,부산광역시 수영구 광안4동 산35-2번지,35.160368,129.101834,1979-01-01,100,2018-11-07,적합,,051-610-4391,부산광역시 수영구청,2019-11-18,3380000,부산광역시 수영구
삼성약수터,부산광역시 수영구 망미1동 산107-1번지,부산광역시 수영구 망미1동 산107-1번지,35.167338,129.100217,1976-01-01,120,2018-11-07,적합,,051-610-4391,부산광역시 수영구청,2019-11-18,3380000,부산광역시 수영구
얼음골약수터,부산광역시 수영구 망미1동 산114번지,부산광역시 수영구 망미1동 산114번지,35.168008,129.095040,1986-01-01,250,2018-11-07,적합,,051-610-4391,부산광역시 수영구청,2019-11-18,3380000,부산광역시 수영구
안정사,,경상남도 통영시 광도면 안정리 1969-8,34.9436571031,128.3989996264,,80,2020-02-07,적합,무,055-650-6417,경상남도 통영시청,2020-03-16,5330000,경상남도 통영시
신금암2호,,경기도 수원시 장안구 파장동 산38,37.327965,126.994508,1989-10-16,200,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
금당골,,경기도 수원시 장안구 송죽동 4,37.315433,127.007915,1989-11-06,100,2020-01-20,부적합,"총대장균군, 분원성대장균군",031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
한천,,경기도 수원시 장안구 조원동 산3-9,37.310386,127.017177,1989-11-16,100,2020-01-20,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
부여군 구정문약수,,충청남도 부여군 부여읍 관북리 28-22,36.2860245137,126.912472,1996-02-03,150,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
살구골,,경기도 수원시 영통구 영통동 988-3,37.2485202568,127.0696429237,1999-05-07,150,2019-11-20,적합,,031-228-8918,경기도 수원시 영통구청,2020-02-20,3740000,경기도 수원시
용화출,,경기도 수원시 영통구 매탄동 1177,37.254839,127.037958,1991-08-14,50,2019-11-20,적합,,031-228-8918,경기도 수원시 영통구청,2020-02-20,3740000,경기도 수원시
구매탄,,경기도 수원시 영통구 매탄동 899,37.270119,127.040468,1991-08-14,300,2020-01-13,적합,,031-228-8918,경기도 수원시 영통구청,2020-02-20,3740000,경기도 수원시
화서,,경기도 수원시 팔달구 화서동 79-9,37.1628186,127.0038533,1994-05-14,100,2020-01-15,적합,,031-228-7387,경기도 수원시 팔달구청,2020-02-20,3740000,경기도 수원시
숙지산,,경기도 수원시 팔달구 화서동 산27-2,37.285657197,127.000614474,1990-05-09,300,2020-01-15,적합,,031-228-7387,경기도 수원시 팔달구청,2020-02-20,3740000,경기도 수원시
광이재,,경기도 수원시 권선구 금곡동 742-5,37.2702888,126.933866,2001-09-20,300,2020-01-14,적합,,031-228-6334,경기도 수원시 권선구청,2020-02-20,3740000,경기도 수원시
칠보산,,경기도 수원시 권선구 당수동 산30-1,37.2905018,126.93342292,2002-09-09,200,2020-01-14,적합,,031-228-6334,경기도 수원시 권선구청,2020-02-20,3740000,경기도 수원시
수성,,경기도 수원시 팔달구 화서동 26-59,37.2823331,127.0061638,1989-04-27,100,2020-01-29,부적합,총대장균군,031-228-4473,경기도 수원시 화성사업소,2020-02-20,3740000,경기도 수원시
팔달,,경기도 수원시 팔달구 교동 6-196,37.2754118,127.0104673,2003-02-27,50,2020-01-29,적합,,031-228-4473,경기도 수원시 화성사업소,2020-02-20,3740000,경기도 수원시
효원,,경기도 수원시 팔달구 남창동 55-22,37.2800584972,127.0128095041,2000-12-29,100,2020-01-29,적합,,031-228-4473,경기도 수원시 화성사업소,2020-02-20,3740000,경기도 수원시
백년수,,경기도 수원시 장안구 하광교동 산40-1,37.3166254866,127.0343677538,1989-11-06,200,2020-01-21,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
문암골2호,,경기도 수원시 장안구 하광교동 산35,37.320958,127.035624,1991-12-03,150,2020-01-21,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
문암골1호,,경기도 수원시 장안구 하광교동 산35,37.320932,127.035624,1991-12-03,150,2020-01-21,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
절터,,경기도 수원시 장안구 상광교동 산15,37.345912,127.024025,1991-11-03,300,2020-01-21,부적합,총대장균군,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
퉁소바위,,경기도 수원시 장안구 연무동 산23-1,37.290876,127.024504,1989-11-06,150,2020-01-21,적합,,031-228-5348,경기도 수원시 장안구청,2020-02-20,3740000,경기도 수원시
증심사관리소,광주광역시 동구 증심사길 177,광주광역시 동구 운림동 92-1,35.1288451591,126.9700915610,,100,2019-10-30,적합,,062-608-2492,환경청소과,2020-02-12,3590000,광주광역시 동구
너덜겅,,광주광역시 동구 운림동 산 132-1,35.1324743,126.9788861,,250,2019-10-28,적합,,062-608-2492,환경청소과,2020-02-12,3590000,광주광역시 동구
부여군 태자수약수,,충청남도 부여군 부여읍 쌍북리 산4,36.290075,126.914367,1996-02-03,60,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
부여군 고란약수,,충청남도 부여군 부여읍 쌍북리 산4,36.292411,126.913209,1996-02-03,100,2019-06-20,적합,,041-830-2676,충청남도 부여군 상하수도사업소,2019-09-17,4570000,충청남도 부여군
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2019-04-18,부적합,총대장균균,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
대룡샘,전라북도 부안군 위도면 대리 산 30-1,전라북도 부안군 위도면 대리 산 30-1,35.57821654,126.2624234,,0,2015-09-14,부적합,"총대장균군, 분원성대장균군, 일반세균",063-580-3870,부안군상하수도사업소,2019-06-12,4790000,전라북도 부안군
월정,전라북도 부안군 상서면 감교리 산 145-1,전라북도 부안군 상서면 감교리 산 145-1,35.65919311,126.6527376,,0,2015-09-14,부적합,"총대장균군, 분원성대장균군",063-580-3870,부안군상하수도사업소,2019-06-12,4790000,전라북도 부안군
진동,전라북도 부안군 행안면 진동리 산 50-1,전라북도 부안군 행안면 진동리 산 50-1,35.70936057,126.7228157,,0,2015-09-14,부적합,"총대장균군, 분원성대장균군",063-580-3870,부안군상하수도사업소,2019-06-12,4790000,전라북도 부안군
내수전 약수터,,경상북도 울릉군 울릉읍 저동리 643,37.5097186205,130.9063084939,,45,2019-09-19,부적합,"색도, 철, 망간, 탁도",054-790-6347,울릉군 상하수도사업소,2019-09-30,5260000,경상북도 울릉군
진달래약수터,,경기도 광명시 노온사동 산141-11,,,2008-01-21,150,2018-08-01,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
절골약수터,,경기도 광명시 소하2동 산137-9,37.4272920606,126.8773171232,2008-01-21,375,2018-08-13,적합,,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
영회원약수터,,경기도 광명시 노온사동 산141-11,,,2011-03-04,10,2018-08-13,부적합,총대장균군,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
양묘장약수터,,경기도 광명시 하안1동 산69-4,37.4609715269,126.8576399840,2011-03-04,15,2018-08-13,부적합,총대장균군,02-2680-2339,광명시청 공원녹지과,2019-09-09,3900000,경기도 광명시
탑골,,전라남도 강진군 강진읍 남성리 108-1,34.6420396510,126.7670870117,2001-01-01,100,2019-06-12,적합,,061-430-3775,강진군,2019-09-11,4920000,전라남도 강진군
낙하정,,전라남도 강진군 강진읍 서성리 79-1,34.6382181276,126.7617753221,2000-01-01,500,2019-06-12,적합,,061-430-3775,강진군,2019-09-11,4920000,전라남도 강진군
보은산,,전라남도 강진군 강진읍 남성리 산3,34.6543456953,126.7650410450,1950-01-01,150,2019-06-12,적합,,061-430-3775,강진군,2019-09-11,4920000,전라남도 강진군
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2019-04-18,부적합,미검사(시설폐쇄),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2019-04-18,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2019-04-18,부적합,총대장균균,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
불로,,경기도 의정부시 가능동 산81-2,37.7283541234,127.0224648592,,150,2016-09-09,부적합,미채수(수량부족),031-828-4433,경기도 의정부시청,2019-10-03,3820000,경기도 의정부시
회산샘터,강원도 강릉시 관솔길 34-7,강원도 강릉시 회산동 236,37.7379463,128.8694538,1996-03-23,50,2019-06-04,적합,,033-660-3216,강원도 강릉시청,2019-07-10,4200000,강원도 강릉시
롯데샘터,강원도 강릉시 강변로 16,강원도 강릉시 회산동 81,37.7411152,128.8710397,1996-03-23,120,2019-06-04,적합,,033-660-3216,강원도 강릉시청,2019-07-10,4200000,강원도 강릉시
솔티찬샘물,,충청북도 괴산군 장연면 송덕리 산53-2,36.802218,127.9248555,1997-10-07,120,2019-01-18,적합,,043-830-3637,괴산군수도사업소,2019-04-30,4460000,충청북도 괴산군
찬새미약수터,,충청북도 괴산군 소수면 수리 800,36.8642699,127.7252162,1995-08-02,60,2019-01-18,적합,,043-830-3637,괴산군수도사업소,2019-04-30,4460000,충청북도 괴산군
월문리약수터,,충청북도 괴산군 청천면 월문리 산34,36.6934818,127.7368509,1995-08-02,80,2019-01-18,적합,,043-830-3637,괴산군수도사업소,2019-04-30,4460000,충청북도 괴산군
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2019-05-22,부적합,미검사(시설폐쇄),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2019-05-22,부적합,총대장균균,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
냉골,,경기도 양주시 백석읍 가업리 산20,37.787462,126.9647174898,2009-06-09,15,2019-04-19,부적합,총대장균군,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
금광1차아파트,경기도 양주시 평화로1429번길 89-94,경기도 양주시 덕계동 646-1,37.8218730242,127.0403386981,2013-06-24,40,2019-04-16,적합,,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
가재울,,경기도 양주시 광적면 우고리 산14-3,37.8315954851,126.9596594716,2013-06-24,30,2019-04-22,부적합,총대장균군,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
새낭골(위),,경기도 양주시 광적면 가납리 산70,37.8205356410,127.0039640192,2007-01-03,50,2019-04-19,적합,,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
훈련장,,경기도 양주시 광적면 효촌리 산116-3,37.8851381981,126.9503471490,1996-01-31,50,2019-04-17,적합,,031-8082-6832,경기도 양주시청,2019-05-16,5590000,경기도 양주시
활터약수터,,경상남도 합천군 합천읍 합천리 198,35.5608640151,128.1667787820,2004-03-02,75,2016-08-22,적합,없음,055-930-3326,합천군 상하수도사업소,2019-09-20,5480000,경상남도 합천군
청계골,,서울특별시 서초구 원지동 산4-58,37.4333803192,127.0537377162,,150,2019-07-23,적합,,02-2155-6875,서울특별시 서초구청,2019-07-31,3210000,서울특별시 서초구
